ÉTABLISSEMENS	EXISTANS le premier. vend, an 12.	ENTRÉS.	TOTAL des Existans et des Entrés.	SORTIS.	MORTS.	TOTAL des Sortis et des Morts.	restans le premier. vend an 13.	JOURNÉES.
Camp sous Bayonne. .	»	400	400	392	8	400	»	5,026
Isle d’Yeu	41	424	465	394	52	446	19	10,364
Belle—Isle	105	1,417	1,522	1,393	54	1447	75	34,439
Boulogne. . . N°. 1. .	»	288	288	287	1	288	»	3,667
Montrcuil-les-Carmes.	»	68	68	68	»	68	*	838
Étaples	»	108	108	106	2	108	»	622
Samer	»	103	103	101	2	103	»	811
Marquise	»	262	262	262	»	262	»	1,651
Porto-Fcrrajo	198	1,110	1,308	1219	89	1,308	»	19,511
	344	4,180	4,524	4222	208	4,43o	94	76,929
