DIVISIONS MILITAIRES	"NOMBRE D’HOSPICES par DIVISION.
"	"EXISTANS le premier.vend. an 12

"	ENTRÉS.	TOTAL des Existons et des Entrés.	SORTIS par billet.	SORTIS PAR  évacuation	MORTS.	TOTAL des Sortis et des Morts.	"RESTANS le premier. vend, an 13."	JOURNÉES
1	37	360	7930	"8,290"	"7,285"	115	456	"7,856"	434	"172,710"
2	15	204	"3,578"	"3,782"	"3,391"	17	202	"2,610"	172	"78,014"
3	2	74	911	985	784	96	62	912	43	"20,417"
4	11	235	2265	"2,500"	2213	»	138	"2,351"	149	"69,048"
5	9	100	1360	"1,460"	"1,223"	21	28	"1,272"	188	"41,878"
6	16	355	"3,851"	"4,206"	"3,824"	7	155	"3,986"	220	"118,784"
7	18	478	4417	"4,895"	"4,288"	59	242	"4,589"	306	"132,505"
8	26	468	"5,354"	"5,822"	"4,681"	425	434	"5,540"	282	"123,603"
9	21	379	"2,435"	"2,814"	"2,535"	50	106	"2,691"	123	"88,804"
10	14	275	"2,451"	"2,706"	"2,460"	28	119	"2,607"	99	"57,496"
11	14	330	"3,181"	"3,511"	"3,218"	78	114	"3,410"	101	"72,104"
12	21	468	"8,947"	"9,415"	"7,767"	41	621	"8,429"	986	"263,533"
13	23	391	"6,849"	"7,240"	"6,227"	34	262	"6,523"	717	"223,053"
14	22	394	"4,250"	"4,644"	"4,076"	122	180	4378	266	"136,359"
15	26	556	8788	"9,344"	"8,340"	74	248	"8,662"	682	"218,935"
16	22	894	"37,334"	"38,228"	"25,449"	"7,672"	"1,339"	"34,460"	"3,768"	"808,953"
18	25	522	"4,229"	"4,551"	"4,091"	»	272	"4,363"	188	"103,370"
19	10	185	"2,765"	"2,950"	"2,570"	3	244	"2,817"	133	"79,383"
20	18	152	"2,520"	"2,672"	"2,372"	»	176	"2,548"	124	"69,816"
21	15	236	2765	"3,001"	"2,556"	1	253	"3,810"	191	"81,464"
22	23	114	1678	"1,792"	"1,655"	»	49	"1,704"	88	"36,907"
24	6	483	"6,249"	"6,732"	"4,562"	779	234	"5,575"	"1,157"	"166,671"
25	2	18	318	336	297	2	13	312	24	"8,311"
26	2	18	657	675	446	182	27	655	20	"7,855"
27	21	643	3192	"3,835"	"2,535"	722	133	"3,390"	445	"54,433"
Helvetie	12	154	445	599	582	10	7	599	»	"18,975"
Italie	24	900	14723	12336	12336	1990	579	"14,905"	718	"283,028"
	455	9186	"143,422"	152608	"121,763"	12528	"6,693"	"140,984"	"11,624"	"3,536,409"
										
-—  										
										
